id;car_make
1;ALFA ROMEO
2;ASTON MARTIN
3;AUDI
4;BMW
5;BUICK
6;CADILLAC
7;CHEVROLET
8;CHRYSLER
9;DATSUN
10;DELOREAN
11;DODGE
12;FERRARI
13;FIAT
14;FORD
15;GMC
16;HONDA
17;ISUZU
18;JAGUAR
19;JEEP
20;LINCOLN
21;LOTUS
22;MASERATI
23;MAZDA
24;MERCEDES-BENZ
25;MERCURY
26;NISSAN
27;OLDSMOBILE
28;PETERBILT
29;PEUGEOT
30;PLYMOUTH
31;PONTIAC
32;PORSCHE
33;ROLLS-ROYCE
34;SAAB
35;SUBARU
36;SUZUKI
37;TOYOTA
38;TRIUMPH
39;VOLVO
40;MITSUBISHI
41;BENTLEY
42;ACURA
43;DAIHATSU
44;GEO
45;LAND ROVER
46;YUGO
47;HYUNDAI
48;LAMBORGHINI
49;INFINITI
50;LEXUS
51;HUMMER
52;SATURN
53;KIA
54;BUGATTI
55;DAEWOO
56;SMART
57;MINI
58;SPYKER
59;MAYBACH
60;TESLA
61;MCLAREN
62;FISKER
63;RAM
64;AM GENERAL
65;KARMA
66;DAIMLER
67;LUCID
68;RIVIAN
69;SHELBY
